From	Entry	Entry Name
ENSP00000000233	P84085	ARF5_HUMAN
ENSP00000356607	Q86X27	RGPS2_HUMAN
ENSP00000427567	Q9C0D6	FHDC1_HUMAN
ENSP00000253413	P36543	VATE1_HUMAN
ENSP00000493357	Q99418	CYH2_HUMAN
ENSP00000324127	Q9NYI0	PSD3_HUMAN
ENSP00000325266	Q8N5M4	TTC9C_HUMAN
ENSP00000320935	P14672	GLUT4_HUMAN
ENSP00000371175	Q9UJY5	GGA1_HUMAN
ENSP00000480364	Q96I51	RCC1L_HUMAN
ENSP00000388107	P62987	RL40_HUMAN
ENSP00000461784	I3NI02	I3NI02_HUMAN
ENSP00000381097	P54762	EPHB1_HUMAN
ENSP00000234160	Q9H8Y8	GORS2_HUMAN
ENSP00000241502	Q96QD9	UIF_HUMAN
ENSP00000317272	P08581	MET_HUMAN
ENSP00000487719	Q9H853	TBA4B_HUMAN
ENSP00000354878	Q7Z4S6	KI21A_HUMAN
ENSP00000369127	P31689	DNJA1_HUMAN
ENSP00000493946	Q68CZ1	FTM_HUMAN
ENSP00000383023	Q02045	MYL5_HUMAN
ENSP00000266126	P49770	EI2BB_HUMAN
ENSP00000262027	P56192	SYMC_HUMAN
ENSP00000271526	Q92733	PRCC_HUMAN
ENSP00000364898	P43405	KSYK_HUMAN
ENSP00000325074	P63151	2ABA_HUMAN
ENSP00000310226	Q9H0U4	RAB1B_HUMAN
ENSP00000006275	O75865	TPC6A_HUMAN
ENSP00000369965	P20290	BTF3_HUMAN
ENSP00000258098	Q9BXF6	RFIP5_HUMAN
ENSP00000265462	P30044	PRDX5_HUMAN
ENSP00000347464	Q14161	GIT2_HUMAN
ENSP00000330842	Q99666	RGPD5_HUMAN
ENSP00000358723	P62834	RAP1A_HUMAN
ENSP00000498386	A0A494C066	A0A494C066_HUMAN
ENSP00000225655	P07737	PROF1_HUMAN
ENSP00000351926	O95782	AP2A1_HUMAN
ENSP00000447300	Q96QF0	RAB3I_HUMAN
ENSP00000264335	P62258	1433E_HUMAN
ENSP00000387549	P54219	VMAT1_HUMAN
ENSP00000386857	P63267	ACTH_HUMAN
ENSP00000271889	Q8TEY5	CR3L4_HUMAN
ENSP00000377769	Q3SXY8	AR13B_HUMAN
ENSP00000341885	P15880	RS2_HUMAN
ENSP00000307939	Q8IWJ2	GCC2_HUMAN
